"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"12/19/13(*1/6/2014)","Boggs, Michael P.","USDC: Northern District of Georgia","smminWQ/Q","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"1/16/14","Bough, Stephen R.","USDC: Western District of Missouri","smminQ/NQ","Obama",113
"1/16/14","Boulware, Richard F., II","USDC: District of Nevada","smminQ/NQ","Obama",113
"1/16/14","Mendoza, Salvador, Jr.","USDC: Eastern District of Washington","smminQ/NQ","Obama",113
"1/16/14","Yandle, Staci Michelle","USDC: Southern District of Illinois","Q","Obama",113
"2/6/14","Krause, Cheryl Ann","Third Circuit","WQ","Obama",113
"2/6/14","Bloom, Beth Francine","USDC: Southern District of Florida","Q","Obama",113
"2/6/14","Gayles, Darrin Phillip","USDC: Southern District of Florida","Q/WQ","Obama",113
"2/6/14","Mendoza, Carlos Eduardo","USDC: Middle District of Florida","Q","Obama",113
"2/6/14","Byron, Paul Gregory","USDC: Middle District of Florida","smQ/NQ","Obama",113
"2/26/14","Rosenberg, Robin Lee","USDC: Southern District of Florida","Q","Obama",113
"3/11/14","Abrams, Leslie Joyce","USDC: Middle District of Georgia","mminQ/NQ","Obama",113
"3/13/14","deGravelles, John W.","USDC: Middle District of Louisiana","WQ","Obama",113
"4/3/14","Birotte, André, Jr.","USDC: Central District of California","WQ","Obama",113
"4/3/14","Moss, Randolph D.","USDC: District of Columbia","WQ","Obama",113
"5/1/2014","Pepper, Pamela","USDC: Eastern District of Wisconsin","WQ","Obama",113
"5/8/2014","Sannes, Brenda Kay","USDC: Northern District of New York","WQ","Obama",113
"5/8/2014","Harris, Pamela Ann","Fourth Circuit","WQ","Obama",113
"5/20/2014","Crawford, Geoffrey W.","USDC: District of Vermont","WQ","Obama",113
"6/16/2014","Bolden, Victor Allen","USDC: District of Connecticut","smminWQ/Q","Obama",113
"6/16/2014","Beetlestone, Wendy","USDC: Eastern District of Pennsylvania","Q","Obama",113
"6/16/2014","Kearney, Mark A.","USDC: Eastern District of Pennsylvania","Q","Obama",113
"6/16/2014","Leeson, Joseph F., Jr.","USDC: Eastern District of Pennsylvania","smminQ/NQ","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"6/16/2014","Pappert, Gerald J.","USDC: Eastern District of Pennsylvania","WQ","Obama",113
"6/19/2014","Hale, David J.","USDC: Western District of Kentucky","Q","Obama",113
"6/19/2014","Stivers, Gregory N.","USDC: Western District of Kentucky","Q(1 Recusal)","Obama",113
"6/26/2014","Arleo, Madeline Cox","USDC: District of New Jersey","WQ","Obama",113
"6/26/2014","Mazzant, Amos L., III","USDC: Eastern District of Texas","smminWQ/Q","Obama",113
"6/26/2014","Pitman, Robert Lee","USDC: Western District of Texas","WQ","Obama",113
"6/26/2014","Schroeder, Robert William, III","USDC: Eastern District of Texas","WQ","Obama",113
"7/31/2014","Burroughs, Allison Dale","USDC: District of Massachusetts","mminQ/NQ","Obama",113
"7/31/2014","Mehta, Amit Priyavadan","USDC: District of Columbia","Q","Obama",113
"8/5/2014","Alonso, Jorge Luis","USDC: Northern District of Illinois","smminQ/WQ","Obama",113
"8/5/2014","Blakey, John Robert","USDC: Northern District of Illinois","Q","Obama",113
"9/8/2014","Davidson, Jeanne Evelyn","US Court of International Trade","WQ","Obama",113
"9/8/2014","Gilliam, Haywood Stirling, Jr.","USDC: Northern District of California","smminWQ/Q(1 Recusal)","Obama",113
"9/18/2014","Azrack, Joan Marie","USDC: Eastern District of New York","WQ(1 Recusal)","Obama",113
"9/18/2014","Bennett, Alfred H.","USDC: Southern District of Texas","Q","Obama",113
"9/18/2014","Biggs, Loretta Copeland","USDC: Middle District of North Carolina","Q","Obama",113
"9/18/2014","Dillon, Elizabeth K.","USDC: Western District of Virginia","smminWQ/Q","Obama",113
"9/18/2014","Hanks, George C., Jr.","USDC: Southern District of Texas","WQ","Obama",113
"9/18/2014","Olvera, Jose Rolando., Jr.","USDC: Southern District of Texas","mminWQ/Q","Obama",113
"9/18/2014","Parrish, Jill N.","USDC: District of Utah","WQ","Obama",113
"11/12/2014","DeArcy Hall, LaShann Moutique","USDC: Eastern District of New York","Q","Obama",113
"11/12/2014","Drozd, Dale A.","USDC: Eastern District of California","WQ","Obama",113
"11/12/2014","Restrepo, Luis Felipe","Third Circuit","smminWQ/Q","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"11/12/2014","Stoll, Kara Farnandez","Federal Circuit","WQ","Obama",113
"11/20/2014","Donnelly, Ann Marie","USDC: Eastern District of New York","Q","Obama",113
"11/20/2014","Ketchmark, Roseann","USDC: Western District of Missouri","smminQ/NQ","Obama",113
"11/20/2014","McDonough, Travis Randall","USDC: Eastern District of Tennessee","Q","Obama",113
"","","","","Obama",114
"DATE","NAME OF","COURT TO WHICH","","Obama",114
"NOMINATED","NOMINEE","NOMINATED","","Obama",114
"1/7/2015","Bennett, Alfred H.","USDC: Southern District of Texas","Q","Obama",114
"1/7/2015","Hanks, George C.,  Jr.","USDC: Southern District of Texas","WQ","Obama",114
"1/7/2015","Olvera, Jose Rolando,  Jr.","USDC: Southern District of Texas","WQm/Qmin","Obama",114
"1/7/2015","Parrish, Jill N.","USDC: District of Utah","WQ","Obama",114
"1/7/2015","Davidson, Jeanne E.","US Court of International Trade","WQ","Obama",114
"1/7/2015","Donnelly, Ann","USDC: Eastern District of New York","Q","Obama",114
"1/7/2015","Drozd, Dale A.","USDC: Eastern District of California","WQ","Obama",114
"1/7/2015","DeArcy Hall, LaShann Moutique","USDC: Eastern District of New York","Q","Obama",114
"1/7/2015","Ketchmark, Rosann A.","USDC: Western District of Missouri","Qsm/NQmin","Obama",114
"1/7/2015","McDonough, Travis Randall","USDC: Eastern District of Tennessee","Q","Obama",114
"1/7/2015","Restrepo, Luis Filipe (PA)","Third Circuit","WQsm/Qmin","Obama",114
"1/7/2015","Stoll, Kara Farnandez (VA)","Federal Circuit","WQ","Obama",114
"","","","","Obama",114
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",114
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",114
"2/4/2015","Crenshaw, Waverly D., Jr.","USDC: Middle District of Tennessee","WQsm/Qmin","Obama",114
"","","","WQ","Obama",114
"2/4/2015","Vilardo, Lawrence Joseph","USDC: Western District of New York","(Chair Recused)","Obama",114
"2/26/2015","Barzee Flores, Mary","USDC: Southern District of Florida","WQ","Obama",114
"2/26/2015","Neals, Julien Xavier","USDC: District of New Jersey","WQ","Obama",114
"3/26/2015","Vazquez, John Michael","USDC: District of New Jersey","WQ","Obama",114
"3/26/2015","Xinis, Paula","USDC: District of Maryland","WQ","Obama",114
"4/15/2015","Wright, Wilhelmina Marie","USDC: District of Minnesota","WQ","Obama",114
"5/21/2015","Stanton, Edward L., III","USDC: Western District of Tennessee","Qsm/WQmin","Obama",114
"6/11/2015","Martinotti, Brian R.","USDC: District of New Jersey","WQ","Obama",114
"6/11/2015","Rossiter, Robert F., Jr.","USDC: District of Nebraska","Q","Obama",114
"7/16/2015","Young, Mark A.","USDC: Central District of California","WQsm/Qmin","Obama",114
"7/21/2015","Strand, Leonard Terry","USDC: Northern District of Iowa","WQ","Obama",114
"7/30/2015","Baxter, Susan Paradise","USDC: Western District of Pennsylvania","WQ","Obama",114
"7/30/2015","Colville, Robert John","USDC: Western District of Pennsylvania","WQsm/Qmin","Obama",114
"7/30/2015","Horan, Marilyn Jean","USDC: Western District of Pennsylvania","WQ","Obama",114
"7/30/2015","Younge, John Milton","USDC: Eastern District of Pennsylvania","Qsm/NQmin","Obama",114
"7/30/2015","Bernstein, Inga S.","USDC: District of Massachusetts","Qsm/NQmin","Obama",114
"7/30/2015","Brown, Gary Richard","USDC: Eastern District of New York","WQ","Obama",114
"7/30/2015","López, Dax Eric","USDC: Northern District of Georgia","Q","Obama",114
"7/30/2015","Drake, Elizabeth J.","US Court of International Trade","WQ","Obama",114
"7/30/2015","Groves, Jennifer Choe","US Court of International Trade","Qm/NQmin","Obama",114
"7/30/2015","Katzmann, Gary Stephen","US Court of International Trade","WQ","Obama",114
"9/9/2015","Connors, Clare E.","USDC: District of Hawaii","WQ","Obama",114
"","","","","Obama",114
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",114
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",114
"9/9/2015","Gallagher, Stephanie A.","USDC: District of Maryland","WQ","Obama",114
"9/9/2015","McElroy, Mary S.","USDC: District of Rhode Island","Q","Obama",114
"9/15/2015","Ebinger, Rebecca Goodgame","USDC: Southern District of Iowa","Q","Obama",114
"12/16/2015","Abrams, Paul Lewis","USDC: Central District of California","WQ","Obama",114
"12/16/2015","Mitchell, Suzanne","USDC: Western District of Oklahoma","Q","Obama",114
"12/16/2015","Palk, Scott L.","USDC: Western District of Oklahoma","Q","Obama",114
"12/16/2015","Russell, Ronald G.","USDC: District of Utah","WQsm/Qmin","Obama",114
"1/12/2016","Ong, Winfield D.","USDC: Southern District of Indiana","Q","Obama",114
"1/12/2016","Schott, Donald K.","Seventh Circuit","WQ","Obama",114
"1/12/2016","Selby, Myra","Seventh Circuit","Q","Obama",114
"","","","","Obama",114
"1/28/2016","Campbell, Terrence J.","USDC: District of Kansas","WQm/Qmin","Obama",114
"1/28/2016","Puhl, Jennifer Klemetsrud","Eighth Circuit","Qm/NQmin","Obama",114
"2/4/2016","Finley, Stephanie Ann","USDC: Western District of Louisiana","Qm/WQmin","Obama",114
"2/4/2016","Kelly, Claude J.,  III","USDC: Eastern District of Louisiana","WQ","Obama",114
"2/11/2016","Kallon, Abdul K.","Eleventh Circuit","WQ","Obama",114
"2/25/2016","Beatty, Donald Wayne","USDC: District of South Carolina","WQ","Obama",114
"2/25/2016","Coggins, Donald C., Jr.","USDC: District of South Carolina","WQ","Obama",114
"2/25/2016","Koh, Lucy Haeran","Ninth Circuit","WQsm/Qmin","Obama",114
"3/15/2016","Haywood, Rebecca Ross","Third Circuit","WQ","Obama",114
"3/15/2016","Counts, Walter David, III","USDC: Western District of Texas","WQ","Obama",114
"3/15/2016","Frost, Edwin Scott","USDC: Northern District of Texas","WQ","Obama",114
"3/15/2016","Hendrix, James Wesley","USDC: Northern District of Texas","WQ","Obama",114
"3/15/2016","Ramirez, Irma Carrillo","USDC: Northern District of Texas","WQ","Obama",114
"","","","","Obama",114
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",114
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",114
"3/15/2016","Scholer, Karen Gren","USDC: Eastern District of Texas","Qsm/WQmin","Obama",114
"3/15/2016","Sweet, Kathleen Marie","USDC: Western District of New York","WQ","Obama",114
"","","","WQ","Obama",114
"3/16/2016","Garland, Merrick B.","Associate Justice of the Supreme Court","(1 Recusal)","Obama",114
"3/17/2016","Hughes, Lisabeth Tabor","Sixth Circuit","WQ","Obama",114
"4/5/2016","Nye, David C.","USDC: District of Idaho","WQ","Obama",114
"4/14/2016","Andrus, Beth Marie","USDC: Western District of Washington","WQ","Obama",114
"4/14/2016","Diaz, Jorge Michael","USDC: Western District of Washington","Q","Obama",114
"4/14/2016","O’Sullivan, Kathleen Murray","USDC: Western District of Washington","WQ","Obama",114
"4/28/2016","Rodriguez, Regina Marie","USDC: Colorado","WQ","Obama",114
"4/28/2016","Edelman, Todd","USDC: District of Columbia","WQ","Obama",114
"4/28/2016","Pan, Florence","USDC: District of Columbia","Q","Obama",114
"4/28/2016","Barksdale, Patricia Duffy","USDC: Middle District of Florida","WQ","Obama",114
"4/28/2016","Jung, William Frederic","USDC: Middle District of Florida","WQ","Obama",114
"4/28/2016","Lammens, Philip R.","USDC: Northern District of Florida","WQ","Obama",114
"4/28/2016","Traum, Anne Rachel","USDC: Nevada","WQ","Obama",114
"4/28/2016","Tommons-Goodson, Patricia","USDC: Eastern District of North Carolina","WQ","Obama",114
"5/18/2016","Tydingco-Gatewood, Frances","USDC: District of Guam","WQ","Obama",114
"","","","Q","Obama",114
"9/6/2016","Qureshi, Abid Riaz","USDC: District of Columbia","(1 Recusal)","Obama",114
"9/13/2016","Gujarati, Diane","USDC: Eastern District of New York","WQ","Obama",114
